ID	NUMBER	CHINESE_GLOSS	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	NOTE
360	360	书	181	nouns	culture, music	十二、文化、娛乐	名 詞	book	-
361	361	本子	181	nouns	culture, music	十二、文化、娛乐	名 詞	notebook // booklet	-
362	362	紙	182	nouns	culture, music	十二、文化、娛乐	名 詞	paper	-
363	363	硯台	182	nouns	culture, music	十二、文化、娛乐	名 詞	inkstone	-
364	364	毛笔	183	nouns	culture, music	十二、文化、娛乐	名 詞	writing brush	-
365	365	鋼笔	183	nouns	culture, music	十二、文化、娛乐	名 詞	fountain pen	钢笔
366	366	信	184	nouns	culture, music	十二、文化、娛乐	名 詞	letter	-
367	367	信封儿	184	nouns	culture, music	十二、文化、娛乐	名 詞	envelope	-
368	368	信紙	185	nouns	culture, music	十二、文化、娛乐	名 詞	letter paper	-
369	369	橡皮圈儿	185	nouns	culture, music	十二、文化、娛乐	名 詞	rubber seal	-
370	370	图章	186	nouns	culture, music	十二、文化、娛乐	名 詞	seal // stamp	-
371	371	徽章	186	nouns	culture, music	十二、文化、娛乐	名 詞	badge // emblem	-
372	372	相片	187	nouns	culture, music	十二、文化、娛乐	名 詞	foto (picture)	-
373	373	电影	187	nouns	culture, music	十二、文化、娛乐	名 詞	film (movie)	-
374	374	故事	188	nouns	culture, music	十二、文化、娛乐	名 詞	history // story	-
375	375	球	188	nouns	culture, music	十二、文化、娛乐	名 詞	ball	-
376	376	秋千	189	nouns	culture, music	十二、文化、娛乐	名 詞	swing	-
377	377	风箏	189	nouns	culture, music	十二、文化、娛乐	名 詞	kite	-
378	378	炮仗	190	nouns	culture, music	十二、文化、娛乐	名 詞	firecracker	-
379	379	哨子	190	nouns	culture, music	十二、文化、娛乐	名 詞	whistle	-
380	380	头	191	nouns	human body	十三、人体	名 詞	head	-
381	381	头髮	191	nouns	human body	十三、人体	名 詞	hair (of head)	-
382	382	前額	192	nouns	human body	十三、人体	名 詞	forehead	-
383	383	眼晴	192	nouns	human body	十三、人体	名 詞	eye	眼睛
384	384	鼻子	193	nouns	human body	十三、人体	名 詞	nose	-
385	385	耳朵	193	nouns	human body	十三、人体	名 詞	ear	-
386	386	嘴	194	nouns	human body	十三、人体	名 詞	mouth	-
387	387	舌头	194	nouns	human body	十三、人体	名 詞	tongue	-
388	388	脖子	195	nouns	human body	十三、人体	名 詞	neck	脖子
389	389	夹肢窝	195	nouns	human body	十三、人体	名 詞	armpit	-
390	390	胳膊	196	nouns	human body	十三、人体	名 詞	arm	-
391	391	左手	196	nouns	human body	十三、人体	名 詞	left hand // left side	-
392	392	右手	197	nouns	human body	十三、人体	名 詞	right hand // right side	-
393	393	手指头	197	nouns	human body	十三、人体	名 詞	fingertip	-
394	394	大姆指	198	nouns	human body	十三、人体	名 詞	thumb	-
395	395	小姆指	198	nouns	human body	十三、人体	名 詞	little finger	-
396	396	指甲	199	nouns	human body	十三、人体	名 詞	fingernail	-
397	397	屁股	199	nouns	human body	十三、人体	名 詞	buttocks	-
398	398	大腿	200	nouns	human body	十三、人体	名 詞	thigh (upper leg)	-
399	399	膝盖	200	nouns	human body	十三、人体	名 詞	knee	膝盖
400	400	男人	201	nouns	human character	十四、人品	名 詞	man	-
401	401	女人	201	nouns	human character	十四、人品	名 詞	woman	-
402	402	老头儿	202	nouns	human character	十四、人品	名 詞	old man	-
403	403	老太婆	202	nouns	human character	十四、人品	名 詞	old woman	-
404	404	小伙子	203	nouns	human character	十四、人品	名 詞	young fellow	-
405	405	小孩儿	203	nouns	human character	十四、人品	名 詞	child	-
406	406	男孩儿	204	nouns	human character	十四、人品	名 詞	boy	-
407	407	女孩儿	204	nouns	human character	十四、人品	名 詞	girl	-
408	408	聋子	205	nouns	human character	十四、人品	名 詞	deaf person	-
409	409	瞎子	205	nouns	human character	十四、人品	名 詞	blind person	-
410	410	哑吧	206	nouns	human character	十四、人品	名 詞	mute person	-
411	411	結巴	206	nouns	human character	十四、人品	名 詞	stammerer // stutterer	-
412	412	麻子	207	nouns	human character	十四、人品	名 詞	person with a pockmarked face	-
413	413	禿子	207	nouns	human character	十四、人品	名 詞	baldhead	-
414	414	駝子	208	nouns	human character	十四、人品	名 詞	humpback	-
415	415	跛子	208	nouns	human character	十四、人品	名 詞	lame person	-
416	416	疯子	209	nouns	human character	十四、人品	名 詞	mad person	-
417	417	单身汉	209	nouns	human character	十四、人品	名 詞	bachelor	-
418	418	寡妇	210	nouns	human character	十四、人品	名 詞	widow	-
419	419	双胞胎	210	nouns	human character	十四、人品	名 詞	twins	-
420	420	小偷	211	nouns	human character	十四、人品	名 詞	thief	-
421	421	强盜	211	nouns	human character	十四、人品	名 詞	robber	-
422	422	爷爷	212	nouns	kinship terms	十五、亲属称呼	名 詞	grandfather	-
423	423	奶奶	212	nouns	kinship terms	十五、亲属称呼	名 詞	grandmother	-
424	424	爸爸	213	nouns	kinship terms	十五、亲属称呼	名 詞	father // daddy	-
425	425	媽媽	213	nouns	kinship terms	十五、亲属称呼	名 詞	mother // mommy	-
426	426	后母	214	nouns	kinship terms	十五、亲属称呼	名 詞	stepmother	-
427	427	伯父	214	nouns	kinship terms	十五、亲属称呼	名 詞	father's elder brother // uncle	-
428	428	伯母	215	nouns	kinship terms	十五、亲属称呼	名 詞	wife of fatherss elder brother // aunt	-
429	429	叔父	215	nouns	kinship terms	十五、亲属称呼	名 詞	uncle	-
430	430	嬸母	216	nouns	kinship terms	十五、亲属称呼	名 詞	wife of father's younger brother // aunt	-
431	431	姑父	216	nouns	kinship terms	十五、亲属称呼	名 詞	husband of father's sister // uncle	-
432	432	姑母	217	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
433	433	外公	217	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
434	434	外婆	218	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
435	435	萬父	218	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
436	436	與母	219	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
437	437	姨父	219	nouns	kinship terms	十五、亲属称呼	名 詞	uncle // husband of one's maternal aunt	-
438	438	姨母	220	nouns	kinship terms	十五、亲属称呼	名 詞	maternal aunt	-
439	439	丈人	220	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
440	440	丈母	221	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
441	441	公公	221	nouns	kinship terms	十五、亲属称呼	名 詞	husband's father // father-in-law	-
442	442	婆婆	222	nouns	kinship terms	十五、亲属称呼	名 詞	husband's mother // mother-in-law	-
443	443	丈夫	222	nouns	kinship terms	十五、亲属称呼	名 詞	husband	-
444	444	妻子	223	nouns	kinship terms	十五、亲属称呼	名 詞	wife	-
445	445	哥哥	223	nouns	kinship terms	十五、亲属称呼	名 詞	elder brother	-
446	446	嫂子	224	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
447	447	弟弟	224	nouns	kinship terms	十五、亲属称呼	名 詞	younger brother	-
448	448	姐姐	225	nouns	kinship terms	十五、亲属称呼	名 詞	elder sister	-
449	449	姐夫	225	nouns	kinship terms	十五、亲属称呼	名 詞	brother-in-law // elder sister's husband	-
450	450	妹妹	226	nouns	kinship terms	十五、亲属称呼	名 詞	younger sister	-
451	451	妹夫	226	nouns	kinship terms	十五、亲属称呼	名 詞	brother-in-law // younger sister's husband	-
452	452	大伯子	227	nouns	kinship terms	十五、亲属称呼	名 詞	brother-in-law // husband's elder brother	-
453	453	小叔子	227	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
454	454	大姑子	228	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
455	455	小姑子	228	nouns	kinship terms	十五、亲属称呼	名 詞	sister-in-law	?
456	456	儿子	229	nouns	kinship terms	十五、亲属称呼	名 詞	son	?
457	457	媳妇	229	nouns	kinship terms	十五、亲属称呼	名 詞	son's wife	-
458	458	女儿	230	nouns	kinship terms	十五、亲属称呼	名 詞	daughter	-
459	459	女婿	230	nouns	kinship terms	十五、亲属称呼	名 詞	son-in-law	?
460	460	侄儿	231	nouns	kinship terms	十五、亲属称呼	名 詞	-	?
461	461	侄女	231	nouns	kinship terms	十五、亲属称呼	名 詞	niece	?
462	462	外甥	232	nouns	kinship terms	十五、亲属称呼	名 詞	nephew // sister's son	-
463	463	孙子	232	nouns	kinship terms	十五、亲属称呼	名 詞	grandson	-
464	464	孙女	233	nouns	kinship terms	十五、亲属称呼	名 詞	granddaughter	-
465	465	外孙	233	nouns	kinship terms	十五、亲属称呼	名 詞	daughter's son // grandson	-
466	466	前面	234	nouns	directions	十六、方位	名 詞	front // front side	-
467	467	后面	234	nouns	directions	十六、方位	名 詞	back // back side	-
468	468	里面	235	nouns	directions	十六、方位	名 詞	in // inside	-
469	469	外面	235	nouns	directions	十六、方位	名 詞	out // outside	-
470	470	上面	236	nouns	directions	十六、方位	名 詞	top // top side // top	-
471	471	下面	236	nouns	directions	十六、方位	名 詞	under // below	-
472	472	中間	237	nouns	directions	十六、方位	名 詞	centre // in the middle of	-
473	473	旁边	237	nouns	directions	十六、方位	名 詞	side	-
474	474	隔壁	238	nouns	directions	十六、方位	名 詞	next to	-
475	475	城里	238	nouns	directions	十六、方位	名 詞	inside the city // downtown	-
476	476	乡下	239	nouns	directions	十六、方位	名 詞	countryside	-
477	477	东西	239	nouns	other	十七、其他	名 詞	thing	-
478	478	粉	240	nouns	other	十七、其他	名 詞	powder	-
479	479	末子	240	nouns	other	十七、其他	名 詞	dust	-
480	480	泡沫	241	nouns	other	十七、其他	名 詞	foam	-
481	481	口水	241	nouns	other	十七、其他	名 詞	saliva // spit	-
482	482	垃圾	242	nouns	other	十七、其他	名 詞	garbage // trash	-
483	483	角落	242	nouns	other	十七、其他	名 詞	corner	-
484	484	窟窿	243	nouns	other	十七、其他	名 詞	hole // cavity	-
485	485	猪圈	243	nouns	other	十七、其他	名 詞	pigsty	-
486	486	鸡窝	244	nouns	other	十七、其他	名 詞	chicken nest	-
487	487	坟	244	nouns	other	十七、其他	名 詞	grave	-
488	488	棺材	245	nouns	other	十七、其他	名 詞	coffin	-
489	489	事情	245	nouns	other	十七、其他	名 詞	affair // matter	-
490	490	刮风	246	verbs	natural change	一、自然变化	动詞	blow (of wind)	-
491	491	下雨	246	verbs	natural change	一、自然变化	动詞	rain	-
492	492	打閃	247	verbs	natural change	一、自然变化	动詞	flash (lightning)	-
493	493	打雷	247	verbs	natural change	一、自然变化	动詞	thunder	-
494	494	結冰	248	verbs	natural change	一、自然变化	动詞	freeze	-
495	495	化雪	248	verbs	natural change	一、自然变化	动詞	-	?
496	496	淋雨	249	verbs	natural change	一、自然变化	动詞	-	?
497	497	退色	249	verbs	natural change	一、自然变化	动詞	fade (loose color)	-
498	498	掉(掉下来）	250	verbs	natural change	一、自然变化	动詞	fall (down)	-
499	499	看	250	verbs	sense-related actions	二、五官动作	动詞	look // see	-
500	500	眨眼	251	verbs	sense-related actions	二、五官动作	动詞	blink (with the eyes)	-
501	501	瞪眼	251	verbs	sense-related actions	二、五官动作	动詞	stare // get angry with	-
502	502	听	252	verbs	sense-related actions	二、五官动作	动詞	hear; understand; obey, comply	-
503	503	聞	252	verbs	sense-related actions	二、五官动作	动詞	hear; smell; make known; news	-
504	504	吃	253	verbs	sense-related actions	二、五官动作	动詞	eat; drink; suffer, endure, bear	-
505	505	喝	253	verbs	sense-related actions	二、五官动作	动詞	drink; shout, call out	-
506	506	吸	254	verbs	sense-related actions	二、五官动作	动詞	inhale, suck in; absorb; attract	-
507	507	咬	254	verbs	sense-related actions	二、五官动作	动詞	bite, gnaw	-
508	508	啮	255	verbs	sense-related actions	二、五官动作	动詞	bite, gnaw	-
509	509	嚼	255	verbs	sense-related actions	二、五官动作	动詞	prattle, be glib	-
510	510	舔	256	verbs	sense-related actions	二、五官动作	动詞	lick with tongue; taste	-
511	511	呑	256	verbs	sense-related actions	二、五官动作	动詞	swallow; absorb	-
512	512	含	257	verbs	sense-related actions	二、五官动作	动詞	-	-
513	513	噴	257	verbs	sense-related actions	二、五官动作	动詞	spurt, blow out, puff out	-
514	514	吹	258	verbs	sense-related actions	二、五官动作	动詞	blow; puff; brag, boast	-
515	515	嚐	258	verbs	sense-related actions	二、五官动作	动詞	taste	-
516	516	拿	259	verbs	body-part related actions	三、肢体动作	动詞	take, hold, grasp; bring; with	-
517	517	捏	259	verbs	body-part related actions	三、肢体动作	动詞	pick with fingers; knead; mold	-
518	518	掐	260	verbs	body-part related actions	三、肢体动作	动詞	hold; gather with hand; choke	-
519	519	摸	260	verbs	body-part related actions	三、肢体动作	动詞	gently touch with hand; caress	-
520	520	捞	261	verbs	body-part related actions	三、肢体动作	动詞	scoop out of water; dredge, fish	-
521	521	找	261	verbs	body-part related actions	三、肢体动作	动詞	search, seek, look for; find	-
522	522	摘	262	verbs	body-part related actions	三、肢体动作	动詞	pluck, pick; select; specify	-
523	523	擦	262	verbs	body-part related actions	三、肢体动作	动詞	wipe, scrub, rub, scour; brush	-
524	524	搓	263	verbs	body-part related actions	三、肢体动作	动詞	to rub or roll between the hands	-
525	525	提	263	verbs	body-part related actions	三、肢体动作	动詞	hold in hand; lift in hand	-
526	526	举	264	verbs	body-part related actions	三、肢体动作	动詞	raise, lift up; recommend	-
527	527	托	264	verbs	body-part related actions	三、肢体动作	动詞	to hold up with palm; to support, rely on	-
528	528	端	265	verbs	body-part related actions	三、肢体动作	动詞	end, extreme; head; beginning	-
529	529	捧	265	verbs	body-part related actions	三、肢体动作	动詞	hold up in two hands	-
530	530	抬	266	verbs	body-part related actions	三、肢体动作	动詞	lift, carry	-
531	531	搬	266	verbs	body-part related actions	三、肢体动作	动詞	transfer, move, remove, shift	-
532	532	按	267	verbs	body-part related actions	三、肢体动作	动詞	put hand on, press down with hand	-
533	533	推	267	verbs	body-part related actions	三、肢体动作	动詞	push, expel; push forward	-
534	534	挡	268	verbs	body-part related actions	三、肢体动作	动詞	obstruct, impede; stop; resist	-
535	535	撑	268	verbs	body-part related actions	三、肢体动作	动詞	prop up, support; brace	-
536	536	拖	269	verbs	body-part related actions	三、肢体动作	动詞	drag, tow, haul; delay, prolong	-
537	537	拉	269	verbs	body-part related actions	三、肢体动作	动詞	pull, drag; seize, hold; lengthen	-
538	538	拔	270	verbs	body-part related actions	三、肢体动作	动詞	uproot, pull out	-
539	539	扶	270	verbs	body-part related actions	三、肢体动作	动詞	support, help; protect; hold on	-
540	540	搂	271	verbs	body-part related actions	三、肢体动作	动詞	hug, embrace; drag, pull	-
541	541	抱	271	verbs	body-part related actions	三、肢体动作	动詞	embrace, hold in arms, enfold	-
542	542	开	272	verbs	body-part related actions	三、肢体动作	动詞	open; initiate, begin, start	-
543	543	关	272	verbs	body-part related actions	三、肢体动作	动詞	frontier pass; close; relation	-
544	544	封	273	verbs	body-part related actions	三、肢体动作	动詞	letter, envelope; feudal	-
545	545	塞	273	verbs	body-part related actions	三、肢体动作	动詞	stop up, block, seal, cork; pass, frontier; fortress	-
546	546	盖	274	verbs	body-part related actions	三、肢体动作	动詞	cover, hide, protect	-
547	547	罩	274	verbs	body-part related actions	三、肢体动作	动詞	basket for catching fish; cover	-
548	548	套	275	verbs	body-part related actions	三、肢体动作	动詞	case, cover, wrapper, envelope	-
549	549	卷	275	verbs	body-part related actions	三、肢体动作	动詞	-	-
550	550	包	276	verbs	body-part related actions	三、肢体动作	动詞	wrap, pack, bundle; package	-
551	551	系	276	verbs	body-part related actions	三、肢体动作	动詞	system; line, link, connection	-
552	552	解	277	verbs	body-part related actions	三、肢体动作	动詞	loosen, unfasten, untie; explain	-
553	553	剝	277	verbs	body-part related actions	三、肢体动作	动詞	peel	-
554	554	折(折叠）	278	verbs	body-part related actions	三、肢体动作	动詞	-	-
555	555	叠（堆叠）	278	verbs	body-part related actions	三、肢体动作	动詞	-	-
556	556	鋪	279	verbs	body-part related actions	三、肢体动作	动詞	shop, store; place sleep, bed	-
557	557	装	279	verbs	body-part related actions	三、肢体动作	动詞	dress, clothes, attire; fill	-
558	558	打	280	verbs	body-part related actions	三、肢体动作	动詞	-	-
559	559	捅	280	verbs	body-part related actions	三、肢体动作	动詞	jab	-
560	560	碰	281	verbs	body-part related actions	三、肢体动作	动詞	collide, bump into	-
561	561	撕	281	verbs	body-part related actions	三、肢体动作	动詞	rip, tear; buy cloth	-
562	562	弹	282	verbs	body-part related actions	三、肢体动作	动詞	pellet, bullet, shot, shell	-
563	563	扔	282	verbs	body-part related actions	三、肢体动作	动詞	throw, hurl; throw away, cast	-
564	564	塡	283	verbs	body-part related actions	三、肢体动作	动詞	fill in, fill up; make good	-
565	565	埋	283	verbs	body-part related actions	三、肢体动作	动詞	bury, secrete, conceal	-
566	566	走	284	verbs	body-part related actions	三、肢体动作	动詞	walk, go on foot; run; leave	-
567	567	跑	284	verbs	body-part related actions	三、肢体动作	动詞	run, flee, leave in hurry	-
568	568	跳	285	verbs	body-part related actions	三、肢体动作	动詞	jump, leap, vault, bounce; dance	-
569	569	踩	285	verbs	body-part related actions	三、肢体动作	动詞	step on	-
570	570	跨	286	verbs	body-part related actions	三、肢体动作	动詞	straddle, bestride, ride; carry	-
571	571	站	286	verbs	body-part related actions	三、肢体动作	动詞	stand up; a stand, station	-
572	572	蹲	287	verbs	body-part related actions	三、肢体动作	动詞	squat, crouch; idle about	-
573	573	靠	287	verbs	body-part related actions	三、肢体动作	动詞	lean on, trust, depend on; near	-
574	574	躺	288	verbs	body-part related actions	三、肢体动作	动詞	lie down, recline	-
575	575	摔	288	verbs	body-part related actions	三、肢体动作	动詞	fall ground, stumble, trip	-
576	576	挤	289	verbs	body-part related actions	三、肢体动作	动詞	crowd, squeeze, push against	-
577	577	躱	289	verbs	body-part related actions	三、肢体动作	动詞	hide	-
578	578	挑	290	verbs	body-part related actions	三、肢体动作	动詞	a load carried on the shoulders; to carry	-
579	579	措	290	verbs	body-part related actions	三、肢体动作	动詞	place; collect, arrange; employ	-
580	580	跟	291	verbs	body-part related actions	三、肢体动作	动詞	heel; to follow, accompany; with	-
581	581	逃跑	291	verbs	body-part related actions	三、肢体动作	动詞	run away;flee;escape;take flight	-
582	582	脱	292	verbs	daily actions	四、日常操作	动詞	take off	-
583	583	戴	292	verbs	daily actions	四、日常操作	动詞	wear on top; support	-
584	584	洗	293	verbs	daily actions	四、日常操作	动詞	wash, rinse; clean, purify	-
585	585	刷	293	verbs	daily actions	四、日常操作	动詞	brush; clean with brush, scrub	-
586	586	涮	294	verbs	daily actions	四、日常操作	动詞	rinse; cook or boil in juice	-
587	587	漱口	294	verbs	daily actions	四、日常操作	动詞	gargle;rinse out the mouth	-
588	588	冼澡	295	verbs	daily actions	四、日常操作	动詞	-	-
589	589	晒	295	verbs	daily actions	四、日常操作	动詞	dry in sun, expose to sun	-
590	590	晾	296	verbs	daily actions	四、日常操作	动詞	air-dry; sun-dry	-
591	591	熨	296	verbs	daily actions	四、日常操作	动詞	iron, press	-
592	592	染	297	verbs	daily actions	四、日常操作	动詞	dye; be contagious; infect	-
593	593	剪	297	verbs	daily actions	四、日常操作	动詞	scissors; cut, divide, separate	-
594	594	裁	298	verbs	daily actions	四、日常操作	动詞	cut out; decrease	-
595	595	切	298	verbs	daily actions	四、日常操作	动詞	cut, mince, slice, carve	-
596	596	割	299	verbs	daily actions	四、日常操作	动詞	cut, divide, partition; cede	-
597	597	刴	299	verbs	daily actions	四、日常操作	动詞	chop by pounding, mince, hash	-
598	598	杀	300	verbs	daily actions	四、日常操作	动詞	kill, slaughter, murder; hurt	-
599	599	宰	300	verbs	daily actions	四、日常操作	动詞	to slaughter; to rule	-
600	600	泼	301	verbs	daily actions	四、日常操作	动詞	pour, splash, water, sprinkle	-
601	601	浇	301	verbs	daily actions	四、日常操作	动詞	spray, water, sprinkle	-
602	602	扫	302	verbs	daily actions	四、日常操作	动詞	sweep, clear away; exterminate	-
603	603	点	302	verbs	daily actions	四、日常操作	动詞	dot, speck, spot; point, degree	-
604	604	收拾	303	verbs	daily actions	四、日常操作	动詞	arrange // mend // take care of // fade // buy off // cook // pack // dispel // eliminate // arrange;administer	-
605	605	撹和	303	verbs	daily actions	四、日常操作	动詞	-	-
606	606	拌	304	verbs	daily actions	四、日常操作	动詞	mix	-
607	607	选择	304	verbs	daily actions	四、日常操作	动詞	select	-
608	608	藏(收存）	305	verbs	daily actions	四、日常操作	动詞	-	-
609	609	說	305	verbs	communication	五、交际、事务、人事	动詞	speak, say, talk; scold, upbraid	-
610	610	閑淡	306	verbs	communication	五、交际、事务、人事	动詞	-	-
611	611	問	306	verbs	communication	五、交际、事务、人事	动詞	ask about, inquire after	-
612	612	理	307	verbs	communication	五、交际、事务、人事	动詞	reason, logic; manage	-
613	613	叫	307	verbs	communication	五、交际、事务、人事	动詞	cry, shout; hail, greet, call	-
614	614	喊	308	verbs	communication	五、交际、事务、人事	动詞	shout, call out, yell; howl; cry	-
615	615	笑	308	verbs	communication	五、交际、事务、人事	动詞	smile, laugh, giggle; snicker	-
616	616	哭	309	verbs	communication	五、交际、事务、人事	动詞	weep, cry, wail	-
617	617	駡	309	verbs	communication	五、交际、事务、人事	动詞	accuse, blame, curse, scold	-
618	618	开玩笑	310	verbs	communication	五、交际、事务、人事	动詞	joke;jest	-
619	619	发脾气	310	verbs	communication	五、交际、事务、人事	动詞	lost one&rsquo;s temper // get angry	-
620	620	吵架	311	verbs	communication	五、交际、事务、人事	动詞	have words with sb.	-
621	621	打架	311	verbs	communication	五、交际、事务、人事	动詞	fight;scuffle // come to blows // mix it up	-
622	622	劝	312	verbs	communication	五、交际、事务、人事	动詞	recommend, advise, urge	-
623	623	吹牛	312	verbs	communication	五、交际、事务、人事	动詞	boast // chat	-
624	624	拍馬	313	verbs	communication	五、交际、事务、人事	动詞	fawn	-
625	625	发誓	313	verbs	communication	五、交际、事务、人事	动詞	swear;vow;pledge	-
626	626	陪	314	verbs	communication	五、交际、事务、人事	动詞	accompany, be with, keep company	-
627	627	做事儿	314	verbs	communication	五、交际、事务、人事	动詞	-	-
628	628	干活儿	315	verbs	communication	五、交际、事务、人事	动詞	-	-
629	629	种地	315	verbs	communication	五、交际、事务、人事	动詞	cultivate (till) land;go in for farming	-
630	630	开車	316	verbs	communication	五、交际、事务、人事	动詞	drive a car,train,etc. // set a machine going	-
631	631	买布	316	verbs	communication	五、交际、事务、人事	动詞	-	-
632	632	买油	317	verbs	communication	五、交际、事务、人事	动詞	-	-
633	633	买药(买中药）	317	verbs	communication	五、交际、事务、人事	动詞	-	-
634	634	活	318	verbs	communication	五、交际、事务、人事	动詞	live, exist, survive; lively	-
635	635	死	318	verbs	communication	五、交际、事务、人事	动詞	die; dead; death	-
636	636	結婚（指男方）	319	verbs	communication	五、交际、事务、人事	动詞	-	-
637	637	結婚（指女方）	319	verbs	communication	五、交际、事务、人事	动詞	-	-
638	638	生（生育）	320	verbs	communication	五、交际、事务、人事	动詞	-	-
639	639	上課	320	verbs	culture, music	六、文化、娛乐	动詞	give lessons // go to class // have class	-
640	640	下課	321	verbs	culture, music	六、文化、娛乐	动詞	finish class	-
641	641	敎	321	verbs	culture, music	六、文化、娛乐	动詞	teach	-
642	642	学	322	verbs	culture, music	六、文化、娛乐	动詞	learning, knowledge; school	-
643	643	玩儿	322	verbs	culture, music	六、文化、娛乐	动詞	-	-
644	644	游泳	323	verbs	culture, music	六、文化、娛乐	动詞	have a swim;swim	-
645	645	照相	323	verbs	culture, music	六、文化、娛乐	动詞	take a picture(或photograph) // photograph	-
646	646	赢	324	verbs	culture, music	六、文化、娛乐	动詞	win; surplus, gain, profit	-
647	647	輸	324	verbs	culture, music	六、文化、娛乐	动詞	transport, carry, haul	-
648	648	休息	325	verbs	physiology and disease	七、生理、病理	动詞	(of a nation) recuperate and multiply // have a rest;take a rest;rest // stop	-
649	649	睡觉	325	verbs	physiology and disease	七、生理、病理	动詞	fall asleep // wake up	-
650	650	打呵欠	326	verbs	physiology and disease	七、生理、病理	动詞	yawn // gape	-
651	651	打瞌睡	326	verbs	physiology and disease	七、生理、病理	动詞	nod;doze off	-
652	652	打冷噤	327	verbs	physiology and disease	七、生理、病理	动詞	-	-
653	653	哆嗦	327	verbs	physiology and disease	七、生理、病理	动詞	tremble // shiver	-
654	654	喷嚏	328	verbs	physiology and disease	七、生理、病理	动詞	sternutation;sneeze	-
655	655	抓痒	328	verbs	physiology and disease	七、生理、病理	动詞	-	-
656	656	撒（撒尿）	329	verbs	physiology and disease	七、生理、病理	动詞	-	-
657	657	拉(拉屎）	329	verbs	physiology and disease	七、生理、病理	动詞	-	-
658	658	生病	330	verbs	physiology and disease	七、生理、病理	动詞	fall ill	-
659	659	着凉	330	verbs	physiology and disease	七、生理、病理	动詞	catch cold	-
660	660	咳嗽	331	verbs	physiology and disease	七、生理、病理	动詞	cough	-
661	661	头暈	331	verbs	physiology and disease	七、生理、病理	动詞	-	-
662	662	发烧	332	verbs	physiology and disease	七、生理、病理	动詞	have a temperature;have a fever // heat sink	-
663	663	泻肚	332	verbs	physiology and disease	七、生理、病理	动詞	scour // have loose bowels; have diarrhoea	-
664	664	生疟疾	333	verbs	physiology and disease	七、生理、病理	动詞	-	-
665	665	喜欢	333	verbs	perceive, reflect	八、感受、思維	动詞	like;love // happy;elated	-
666	666	討厌	334	verbs	perceive, reflect	八、感受、思維	动詞	loathe;be disgusted with // disagreeable;disgusting;repugnant // be hard to handle;troublesome	-
667	667	怪	334	verbs	perceive, reflect	八、感受、思維	动詞	strange, unusual, peculiar	-
668	668	恨	335	verbs	perceive, reflect	八、感受、思維	动詞	hatred, dislike; resent, hate	-
669	669	后悔	335	verbs	perceive, reflect	八、感受、思維	动詞	repent;regret	-
670	670	怕	336	verbs	perceive, reflect	八、感受、思維	动詞	to fear, be afraid of; apprehensive	-
671	671	知道	336	verbs	perceive, reflect	八、感受、思維	动詞	know // know road // know;realize;be aware of	-
672	672	想	337	verbs	perceive, reflect	八、感受、思維	动詞	think, speculate, plan, consider	-
673	673	打算	337	verbs	perceive, reflect	八、感受、思維	动詞	intend;contemplate;propose;be prepared to // plan	-
674	674	相信	338	verbs	perceive, reflect	八、感受、思維	动詞	believe in;be convinced of;have faith in;place reliance on;put one's trust in	-
675	675	怀疑	338	verbs	perceive, reflect	八、感受、思維	动詞	doubt;suspect;scepsis	-
676	676	小心	339	verbs	perceive, reflect	八、感受、思維	动詞	take care // cautious;careful // respectful and cautious	-
677	677	想念	339	verbs	perceive, reflect	八、感受、思維	动詞	long to see again;miss // souvenir	-
678	678	忘記	340	verbs	perceive, reflect	八、感受、思維	动詞	forget	-
679	679	要	340	verbs	perceive, reflect	八、感受、思維	动詞	necessary, essential; necessity	-
680	680	不要	341	verbs	perceive, reflect	八、感受、思維	动詞	do not // refrain from	-
681	681	应該	341	verbs	desire, judge	九、願望、判断	动詞	should;ought to;must	-
682	682	値得	342	verbs	desire, judge	九、願望、判断	动詞	-	-
683	683	是	342	verbs	desire, judge	九、願望、判断	动詞	indeed, yes, right; to be; demonstrative pronoun, this, that	-
684	684	不是	343	verbs	desire, judge	九、願望、判断	动詞	mistake;faul // be not	-
685	685	沒有（无）	343	verbs	desire, judge	九、願望、判断	动詞	-	-
686	686	接吻	344	verbs	other	十、其他	动詞	kiss	-
687	687	上坟	344	verbs	other	十、其他	动詞	honour the memory of the dead at a grave	-
688	688	遗失	345	verbs	other	十、其他	动詞	-	-
689	689	浪费	345	verbs	other	十、其他	动詞	waste;lavish;squander spand;	-
690	690	大	346	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
691	691	小	346	adjectives	appearance, situation	一、形状、情况	形容詞	small, tiny, insignificant	-
692	692	髙	347	adjectives	appearance, situation	一、形状、情况	形容詞	variant of高U+9AD8, high, tall; lofty, elevated	-
